id,name
0,Sparking! Zero - Main Theme
1,UBOST - Cha-La Head Cha-La
2,SMOST - Cha-La Head Cha-La
3,BT3OST - Super Survivor
4,Super Survivor - Instrum
5,BT3OST - The Meteor
6,BT3OST - Vital Burner
7,Survive (Duel/Ubattle)
8,BT3OST - Power Scale
9,BT3OST - Edge Of Spirit
10,BT3 - Caution! Broly Theme
11,BT3 - Menace - Vegeta Theme
12,High & Scream (Cell Games)
13,BT3 OST - Dynamite Battle
14,BT3 OST - Burnin' Up
15,DBT OST - Wild Rush DBSagas
16,BT3 OST - Evolution - WTTheme
17,BT3 OST - DBDensetsu
18,BT3 - Climbing Torin Tower
19,BT3 OST - Mezase Tenkaichi
20,Mezase Tenkaichi Cover
21,BT3 - Prologue & Subtitle
22,BT3 OST - Gohan In Action
23,BT3 OST - Boiling Blood
24,BT3 - Doragon Boru Zetto
25,The Fearsome Ginyu Force
26,BT3 OST - Piccolo Kill Dore
27,BT3 - Battle Summons Death
28,BT3 OST - Cell Fight
29,BT3 ST - The Androids March
30,BT3 OST - Demon Broly
31,BT3 OST - We Gotta Power
32,BT3 OST - DBGT Prologue
33,BT2 - Cha-La Elation
34,Fight Possessed Piccolo
35,BT2 - Solid State Scouter
36,BT2 ST - Goku Confront Slug
37,BT2 OST - Mind Power… Ki
38,BT2 OST - Crisis - Extended
39,BT2 OST - Dark Half - Extended
40,BT2 OST - Escape to Freedom
41,BT2 OST - Gatebreaker
42,BT2 OST - Lonesome Wild
43,Lost Courage - Extended
44,BT2 OST - Open Wings
45,BT2 OST - King's Uneasiness
46,BT1 ST - Impulse To Victory
47,Sky Battle For Justice
48,BT1 OST - Wild Soul
49,BT1 OST - Thrilling Theme
50,BT1 - Flight In Dark Side
51,Great Tastic in Universe
52,BT1 OST - Challengers
53,Move Forward Fearlessly
54,BT - Battle With My Forces
55,BT1 - Over The Galaxy
56,BT1 OST - DBChase Music
57,BT1 - The Kuma Mercenary
58,BT1 - Gohan Emerges
59,RB2 OST - Battle Of Omega
60,RB2 OST - Bardock Sacrifice
61,RB2 - Solid State Scouter
62,RB2 OST - Cooler Forces
