id,name
0,Goku (Inicio)
1,Goku (Med)
2,Goku (Med) - Super Saiyajin
3,Son-Goku (Super)
4,Son-Goku (Super) - Super Saiyajin
5,Son-Goku (Super) - Super Saiyajin 2
6,Son-Goku (Super) - Super Saiyajin 3
7,Goku (GT)
8,Goku (GT) - Super Sayajin
9,Goku (GT) - Super Saiyan 3
10,Goku (GT) - Super Saiyan 4
11,Goku (Niño)
12,Goku (Fin) - Super Saiyajin Dios Rojo
13,Gohan (Niño)
14,Gohan (Joven)
15,Gohan (Joven) - Super Saiyajin
16,Gohan (Joven) - Super Saiyajin 2
17,Gohan (Fin)
18,Gohan (Fin) - Super Saiyajin
19,Gohan (Fin) - Super Saiyajin 2
20,Goku Joven - Saga Piccoro Jr.
21,Gohan (Fin) - Definitivo
22,Piccolo (inicio)
23,Piccolo (Fin)
24,Nail
25,Krilin
26,Yamcha
27,Ten Shin Han
28,Chaos
29,Vegeta (Explorador)
30,Vegeta (Explorador) - Ozaru
31,Vegeta (Super)
32,Vegeta (Super) - Super Saiyajin
33,Súper Vegeta
34,Vegeta (Super) - Super Saiyajin 3
35,Vegeta (Super) - Super Saiyajin God
36,Vegeta (Super) - Super Saiyajin Blue
37,Majin Vegeta - Super Saiyajin 2
38,Vegeta (AF/GT) - Suoer Saiyajin 4
39,Trunks del Futuro
40,Trunks del Futuro - Super Saiyajin
41,Trunks del Futuro (Fin)
42,Trunks del Futuro (Fin) - Super Saiyajin
43,Súper Trunks (Fin) - Dai-San Dankai
44,Trunks (Niño)
45,Trunks (Niño) - Super Saiyajin
46,Goten (Niño)
47,Goten (Niño) - Super Saiyajin
48,Gotenks - Fusión
49,Gotenks - Super Saiyajin
50,Gotenks - Super Saiyajin 3
51,Vegetto - Fusión
52,Vegetto - Super Saiyajin
53,Gogeta - Super Saiyajin
54,Gogeta - Super Saiyan 4
55,Mr. Satan
56,Videl
57,Zaiko
58,Kibitoshin
59,Vegeta (AF/GT) - Super Saiyajin 3
60,Goku (AF/GT) - Super Saiyajin 5
61,Son-Goku (Super) - UltraInstinto Completo
62,El Gran Kaarat/Zeel - Demonio Divino
63,Krillin (Teen)
64,Majuub
65,Gogeta - Fusion
66,Maestro Roshi
67,Maestro Roshi - Full Power
68,Son-Goku (Super) - Super Saiyajin Blue
69,Son-Goku (Super) - Super Saiyajin Blue Kaiokenx20
70,Son-Goku (Super) - UltraInstinto Señal
71,King Vegeta
72,Nappa - Super Saiyajin 4
73,Bardock
74,Bardock - Super Saiyajin
75,Androide 15
76,Bardock - Super Saiyajin 4
77,Raditz
78,Raditz - Super Saiyajin
79,Saibamen
80,Nappa
81,Nappa - Mono Oozaru
82,Vegeta (AF/GT)
83,Vegeta (AF/GT) - Super Saiyayin
84,Goku Black - Super Saiyajin
85,Goku Black - Super Saiyajin Rose
86,Capitán Ginyu
87,Recoome
88,Buter
89,Jeice
90,Guldo
91,Freezer - 1a forma
92,Freezer - 2a forma
93,Freezer - 3a forma
94,Freezer - Forma Final
95,Freezer - Full Power
96,Golden Freezer
97,King Cold
98,Goku Black
99,Frieza Soldier
100,Androide no16
101,Androide no17
102,Androide no18
103,Vegeta (Super) - Super Saiyajin Blue Evolution
104,Vegeta (AF/GT) - Super Saiyajin 5
105,Cell - 1a forma
106,Cell - 2a forma
107,Cell - Forma perfecta
108,Cell - Perfecto
109,Cell Jr.
110,Lyra Cold - Kaio-shin del Oeste
111,Goku (AF/GT) - Super Saiyajin 4
112,Majin Buu
113,Evil Goku
114,Súper Bu
115,Súper Bu - Gotenks Absorbido
116,Súper Bu - Gohan Absorbido
117,Kid Buu
118,Goku (AF/GT)
119,Goku (AF/GT) - Super Saiyajin
120,El Gran Kaarat/Zeel - Forma Gigante
121,Turles
122,Turles - Super Saiyajin
123,Goku (AF/GT) - Super Saiyajin 3
124,Slug
125,Androide 14
126,Cooler
127,Cooler - Forma Final
128,Dabura
129,Androide 13
130,Androide 13 - Fusi?n
131,Broly - Estado iracundo
132,Broly - Super Saiyajin
133,Broly - SSJ Full Power
134,Broly - Legendario Super Saiyajin 3
135,Broly - Super Saiyajin 4
136,Bojack
137,Janemba
138,Súper Janemba
139,Hildegarn
140,Baby Vegeta - Primera Forma
141,Baby Vegeta - Segunda Forma
142,Baby Vegeta - Tercera Forma
143,Baby Vegeta - Oozaru
144,Súper Androide 17
145,Neo Shenron
146,Shin Shenron
147,Súper Yi-Shin-Long - Dragon Maligno
148,Goten GT
149,Goten GT - Super Saiyajin
150,Trunks GT
151,Trunks GT  - Super Saiyajin
152,Gotenks GT - Fusion
153,Gotenks GT - Super Saiyajin
154,Gotenks GT - Super Saiyajin 3
155,Piccolo Daimaku
156,Gohan (GT)
157,Gohan (GT) - Super Saiyajin 2
158,Gohan (GT) - Super Saiyajin 4
159,Gohan del Futuro
160,Gohan del Futuro - Super Saiyajin
