id,name
0,Enemigo comun
1,Ataque Saibamen!
2,La ira de Goku
3,Batalla final decisiva
4,Super Saiyan?!
5,La transformacion final de Freezer!
6,Derrotar a Freezer!
7,Super Saiyan legendario
8,Otro Super Saiyajin? Trunks El Guerrero Del Futuro
9,Androide enfurecido
10,Cuerpo perfecto
11,Los Juegos de Celula
12,Gohan estalla!
13,Batalla final
14,Paz del futuro
15,Batalla predestinada: Goku contra Vegeta
16,Adios al guerrero orgulloso
17,Fusion final
18,Batalla por el universo
19,Conclusion
20,Solo en la batalla final
21,El mas fuerte del mundo
22,Batalla final por la Tierra
23,Super Saiyan Goku
24,Destruir la Makyo Star
25,El mas fuerte contra el mas fuerte
26,Choque de guerreros definitivos
27,Batalla definitiva! Tres Super Saiyans
28,Super Saiyan legendario
29,Llameante! Batalla ardiente definitiva
30,Crisis galactica
31,Protegere la Tierra!
32,Duo peligroso! El gran guerrero no duerme.
33,Monstruo inocente
34,Fusion renacida! Goku y Vegeta
35,Explosion puno dragon! Si no puede Goku…
36,Monstruo inmortal
37,Androide definitivo
38,Guerrero solar 6.000 grados de poder!
39,Super Gogeta definitivo
40,Un final milagroso!
41,El Nuevo Enemigo es Hijo de Goku?!
42,Algo Mas Alla del Super Saiyajin 4?
43,Kaarat el Demonio Divino!
44,Enemigos del Pasado - El Misterio del Super Saiyajin 5
45,El Nacer De Evil Goku - La Determinacion de Vegeta!
46,La Victoria Imposible!
47,Ayuda inesperada
